swing,truth,stored,prod_reproduces,head_px_per_sample,measured_heads,measured_within_2_frames,prod,prod_err,prod_sd_at_1px,prod_sd_at_2px,prod_sd_at_5px,prod_impact_pm1frame,lsq,lsq_err,lsq_sd_at_1px,lsq_sd_at_2px,lsq_sd_at_5px,lsq_impact_pm1frame,circle,circle_err,circle_sd_at_1px,circle_sd_at_2px,circle_sd_at_5px,circle_impact_pm1frame,synth,synth_err
2026-08-18_Mark-Liversedge_Wrist_02/swing_0001,-1.7771,-45.118,True,nan,40,0,-45.118,-43.3409,0.0756,0.1382,0.3721,6.1266,,,,,,,18.7504,20.5275,0.1701,0.3607,0.8971,76.0599,-4.2701,-2.493
2026-08-18_Mark-Liversedge_Wrist_02/swing_0002,-1.1755,-10.857,True,412.1085,50,0,-10.857,-9.6815,0.092,0.1847,0.4662,1.958,,,,,,,17.176,18.3515,0.172,0.2846,0.8191,54.8726,-4.4565,-3.2809
2026-08-18_Mark-Liversedge_Wrist_02/swing_0003,-3.4599,-15.2596,True,237.576,47,1,-15.2596,-11.7997,0.1139,0.2196,0.5521,24.1974,,,,,,,-0.7928,2.6671,0.1787,0.3321,0.83,0.5965,-6.8172,-3.3573
2026-08-18_Mark-Liversedge_Wrist_02/swing_0004,-2.0958,-70.3823,True,116.2574,44,1,-70.3823,-68.2865,0.0825,0.1646,0.4249,9.99,,,,,,,5.2863,7.3822,0.1586,0.2979,0.6766,0.0989,-5.3495,-3.2537
2026-08-18_Mark-Liversedge_Wrist_02/swing_0005,-2.2403,-21.9563,True,223.7915,63,1,-21.9563,-19.716,0.0892,0.1596,0.3931,9.2609,,,,,,,-23.0856,-20.8453,0.1365,0.2932,0.715,42.0957,-7.5247,-5.2844
2026-08-18_Mark-Liversedge_Wrist_02/swing_0006,-2.7994,-65.3767,True,145.1525,45,1,-65.3767,-62.5773,0.1031,0.2029,0.4564,2.6444,,,,,,,3.828,6.6274,0.473,0.9401,2.333,0.0,-8.5393,-5.7398
2026-09-16_Mark-Liversedge_Wrist_01/swing_0001,-3.1571,-41.2771,True,nan,33,0,-41.2771,-38.12,0.1541,0.2988,0.7852,0.0,,,,,,,,,,,,,81.7804,84.9376
2026-09-16_Mark-Liversedge_Wrist_01/swing_0002,-3.8044,24.3056,True,nan,32,1,24.3056,28.1101,0.1113,0.1996,0.5077,1.6429,,,,,,,,,,,,,-8.8151,-5.0107
2026-09-16_Mark-Liversedge_Wrist_01/swing_0003,-2.6605,33.785,True,nan,52,0,33.785,36.4455,0.066,0.1467,0.3063,1.0054,,,,,,,,,,,,,-4.5311,-1.8707
2026-09-16_Mark-Liversedge_Wrist_02/swing_0001,-2.5902,-52.5682,True,nan,69,0,-52.5682,-49.9781,0.0732,0.1567,0.4629,0.4776,,,,,,,,,,,,,-9.4912,-6.901
2026-09-16_Mark-Liversedge_Wrist_02/swing_0002,-1.9556,44.8053,True,nan,81,0,44.8053,46.7609,0.0703,0.133,0.3638,0.4998,,,,,,,,,,,,,1.6297,3.5853
2026-09-16_Mark-Liversedge_Wrist_02/swing_0003,-2.8699,15.7297,True,nan,83,0,15.7297,18.5996,0.0755,0.1377,0.384,0.4929,,,,,,,,,,,,,-6.0434,-3.1734
2026-09-16_Mark-Liversedge_Wrist_03/swing_0001,-0.9123,-4.2232,True,nan,16,0,-4.2232,-3.3109,0.5452,1.1712,3.0191,0.0,,,,,,,,,,,,,12.8332,13.7455
