pair,swing,prod_a,prod_b,hybrid_a,hybrid_b
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,-13.9837,-13.9837,-1.6527,-1.6527
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0002,-5.498,-5.498,-3.0362,-3.0362
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0003,-16.9187,-16.9187,-4.1441,-4.1441
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0004,-6.685,-6.685,-9.3214,-9.3214
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0005,8.7411,8.7411,-6.7867,-6.7867
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0006,6.6296,6.6296,-12.6806,-12.6806
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0007,-6.4718,-6.4718,-6.1811,-6.1811
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0008,5.1654,5.1654,-9.9804,-9.9804
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0009,-28.6355,-28.6355,-23.8656,-23.8656
R1-R2,2026-07-05_Mark-Liversedge_Wrist_02/swing_0010,14.7396,14.7396,-18.09,-18.09
R1-R2,2026-07-09_Mark-Liversedge_Wrist_01/swing_0001,-55.0596,-55.0596,-2.4421,-2.4421
R1-R2,2026-07-09_Mark-Liversedge_Wrist_01/swing_0002,-18.8354,-18.8354,-5.3463,-5.3463
R1-R2,2026-07-09_Mark-Liversedge_Wrist_01/swing_0003,-68.9209,-68.9209,-0.6663,-0.6663
R1-R2,2026-07-09_Mark-Liversedge_Wrist_01/swing_0004,-52.7858,-52.7858,-16.3044,-16.3044
R1-R2,2026-07-09_Mark-Liversedge_Wrist_01/swing_0005,-11.3065,-11.3065,-8.6739,-8.6739
R1-R2,2026-07-09_Mark-Liversedge_Wrist_01/swing_0006,2.1652,2.1652,-3.538,-3.538
R1-R2,2026-07-10_Mark-Liversedge_Wrist_01/swing_0001,-79.3005,-79.3005,-6.6681,-6.6681
R1-R2,2026-07-10_Mark-Liversedge_Wrist_01/swing_0002,-31.4253,-31.4253,0.2929,0.2929
R1-R2,2026-07-10_Mark-Liversedge_Wrist_01/swing_0003,-28.583,-28.583,-12.1924,-12.1924
R1-R2,2026-07-10_Mark-Liversedge_Wrist_01/swing_0004,-33.74,-33.74,-10.3717,-10.3717
R1-R2,2026-07-10_Mark-Liversedge_Wrist_01/swing_0005,9.8439,9.8439,1.7412,1.7412
R1-R2,2026-07-10_Mark-Liversedge_Wrist_02/swing_0001,-37.5158,-37.5158,-6.7044,-6.7044
R1-R2,2026-07-10_Mark-Liversedge_Wrist_02/swing_0002,-73.6831,-73.6831,-14.6963,-14.6963
R1-R2,2026-07-10_Mark-Liversedge_Wrist_02/swing_0003,-45.0952,-45.0952,-3.0763,-3.0763
R1-R2,2026-07-10_Mark-Liversedge_Wrist_02/swing_0004,4.0485,4.0485,-1.0288,-1.0288
R1-R2,2026-07-10_Mark-Liversedge_Wrist_02/swing_0005,-17.8121,-17.8121,-11.908,-11.908
R1-R2,2026-07-10_Mark-Liversedge_Wrist_02/swing_0006,-7.7064,-7.7064,-4.7115,-4.7115
R1-R2,2026-08-18_Mark-Liversedge_Wrist_01/swing_0001,-51.2421,-51.2421,-2.0033,-2.0033
R1-R2,2026-08-18_Mark-Liversedge_Wrist_01/swing_0002,-37.3385,-37.3385,-5.1125,-5.1125
R1-R2,2026-08-18_Mark-Liversedge_Wrist_01/swing_0003,-61.0263,-61.0263,-61.0263,-61.0263
R1-R2,2026-08-18_Mark-Liversedge_Wrist_01/swing_0004,-50.6112,-50.6112,-10.3226,-10.3226
R1-R2,2026-08-18_Mark-Liversedge_Wrist_01/swing_0005,-33.0889,-33.0889,-11.4897,-11.4897
R1-R2,2026-08-18_Mark-Liversedge_Wrist_02/swing_0001,-45.118,-45.118,-4.2701,-4.2701
R1-R2,2026-08-18_Mark-Liversedge_Wrist_02/swing_0002,-11.4831,-11.4831,-4.4565,-4.4565
R1-R2,2026-08-18_Mark-Liversedge_Wrist_02/swing_0003,-15.2596,-15.2596,-6.8054,-6.8054
R1-R2,2026-08-18_Mark-Liversedge_Wrist_02/swing_0004,-70.3823,-70.3823,-5.3495,-5.3495
R1-R2,2026-08-18_Mark-Liversedge_Wrist_02/swing_0005,-22.8937,-22.8937,-7.5247,-7.5247
R1-R2,2026-08-18_Mark-Liversedge_Wrist_02/swing_0006,-65.3767,-65.3767,-8.5393,-8.5393
PR-PM1,2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,-13.9837,-37.9013,-1.6527,0.0372
PR-PM1,2026-07-05_Mark-Liversedge_Wrist_02/swing_0002,-5.498,-35.9481,-3.0362,-2.999
PR-PM1,2026-07-05_Mark-Liversedge_Wrist_02/swing_0003,-16.9187,-21.3178,-4.1441,-4.2062
PR-PM1,2026-07-05_Mark-Liversedge_Wrist_02/swing_0004,-6.685,-2.3682,-9.3214,-11.2922
PR-PM1,2026-07-05_Mark-Liversedge_Wrist_02/swing_0005,8.7411,-19.4844,-6.7867,-5.2309
