swing,R1_old,R1_new,M1_old,M1_new,M28_old,M28_new
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,182.4,3.2,182.4,53.2,182.4,53.2
2026-07-05_Mark-Liversedge_Wrist_02/swing_0002,184.0,0.6,21.5,0.6,21.5,0.6
2026-07-05_Mark-Liversedge_Wrist_02/swing_0003,1.0,1.0,7.2,3.1,9.0,0.6
2026-07-05_Mark-Liversedge_Wrist_02/swing_0004,0.0,0.0,0.0,0.0,62.5,50.0
2026-07-05_Mark-Liversedge_Wrist_02/swing_0005,4.0,49.8,162.3,41.5,120.6,41.5
2026-07-05_Mark-Liversedge_Wrist_02/swing_0006,197.3,51.5,34.8,1.5,34.8,43.2
2026-07-05_Mark-Liversedge_Wrist_02/swing_0007,83.2,4.0,0.0,0.0,70.9,4.2
2026-07-05_Mark-Liversedge_Wrist_02/swing_0008,62.5,0.0,1.7,1.7,0.0,0.0
2026-07-05_Mark-Liversedge_Wrist_02/swing_0009,123.3,2.5,60.8,2.5,58.4,0.0
2026-07-05_Mark-Liversedge_Wrist_02/swing_0010,143.1,1.5,118.1,9.8,118.1,1.5
2026-07-09_Mark-Liversedge_Wrist_01/swing_0001,175.9,0.9,175.9,0.9,184.3,0.9
2026-07-09_Mark-Liversedge_Wrist_01/swing_0002,31.1,43.6,179.5,12.8,28.6,7.8
2026-07-09_Mark-Liversedge_Wrist_01/swing_0003,50.1,0.1,9.9,1.6,9.7,1.4
2026-07-09_Mark-Liversedge_Wrist_01/swing_0004,3.7,3.7,3.7,3.7,3.7,3.7
2026-07-09_Mark-Liversedge_Wrist_01/swing_0005,168.2,1.6,168.2,1.6,168.6,2.0
2026-07-09_Mark-Liversedge_Wrist_01/swing_0006,163.4,0.9,163.6,1.1,163.0,0.5
2026-07-10_Mark-Liversedge_Wrist_01/swing_0001,154.7,0.5,154.7,0.5,103.2,3.2
2026-07-10_Mark-Liversedge_Wrist_01/swing_0002,16.2,3.7,15.4,2.9,377.5,2.5
2026-07-10_Mark-Liversedge_Wrist_01/swing_0003,159.6,1.3,1.3,1.3,137.4,4.1
2026-07-10_Mark-Liversedge_Wrist_01/swing_0004,169.4,2.7,30.3,34.5,30.3,34.5
2026-07-10_Mark-Liversedge_Wrist_01/swing_0005,1.9,1.9,1.9,1.9,150.9,0.9
2026-07-10_Mark-Liversedge_Wrist_02/swing_0001,165.6,3.1,165.6,3.1,165.6,3.1
2026-07-10_Mark-Liversedge_Wrist_02/swing_0002,1.5,1.5,172.3,1.5,172.3,1.5
2026-07-10_Mark-Liversedge_Wrist_02/swing_0003,167.7,5.2,163.6,5.2,161.5,3.2
2026-07-10_Mark-Liversedge_Wrist_02/swing_0004,189.0,1.5,29.7,0.5,156.4,2.2
2026-07-10_Mark-Liversedge_Wrist_02/swing_0005,152.1,2.1,152.1,2.1,150.0,4.1
2026-07-10_Mark-Liversedge_Wrist_02/swing_0006,151.6,1.6,151.6,1.6,151.6,1.6
2026-08-18_Mark-Liversedge_Wrist_01/swing_0001,24.5,3.6,0.3,0.3,0.3,0.3
2026-08-18_Mark-Liversedge_Wrist_01/swing_0002,0.6,0.6,2.3,2.3,2.3,2.3
2026-08-18_Mark-Liversedge_Wrist_01/swing_0003,2.2,2.2,3.8,3.8,44.9,3.3
2026-08-18_Mark-Liversedge_Wrist_01/swing_0004,0.0,0.0,4.8,0.7,155.7,1.6
2026-08-18_Mark-Liversedge_Wrist_01/swing_0005,61.0,11.0,3.8,3.8,3.8,3.8
2026-08-18_Mark-Liversedge_Wrist_02/swing_0001,2.2,2.2,3.8,3.8,3.8,3.8
2026-08-18_Mark-Liversedge_Wrist_02/swing_0002,3.3,3.3,3.3,3.3,1.6,1.6
2026-08-18_Mark-Liversedge_Wrist_02/swing_0003,3.8,3.8,2.3,2.3,3.8,3.8
2026-08-18_Mark-Liversedge_Wrist_02/swing_0004,63.2,0.7,0.7,0.7,2.3,2.3
2026-08-18_Mark-Liversedge_Wrist_02/swing_0005,3.1,3.1,3.1,3.1,3.4,3.4
2026-08-18_Mark-Liversedge_Wrist_02/swing_0006,2.4,2.4,2.4,2.4,2.4,2.4
