root,session,swing,json_bytes,compact_bytes,zstd19_compact_bytes,ppsw_lossless_bytes,ppsw_f32_bytes,chunks,cpp_verify,py_verify,json_load_ms,py_ppsw_load_ms,py_root_open_ms,has_dtl,error
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0001,65649500,27169117,9360334,6151237,3717810,10,EQUAL,EQUAL,303.1,79.4,0.49,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0002,65282082,27049695,,6141072,3713596,10,EQUAL,EQUAL,301.3,97.8,0.58,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0003,66243673,27486408,,6244668,3783255,10,EQUAL,EQUAL,302.9,86.3,0.56,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0004,65048391,26913826,,6023621,3617067,10,EQUAL,EQUAL,308.3,83.3,0.62,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0005,65153966,26967238,,6086816,3668625,10,EQUAL,EQUAL,296.3,73.9,1.04,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0006,65755604,27263092,,6124890,3690157,10,EQUAL,EQUAL,321.8,82.4,0.56,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0007,65638005,27183434,,6097586,3666543,10,EQUAL,EQUAL,335.3,81.6,0.47,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0008,66016496,27325753,,6149773,3698696,10,EQUAL,EQUAL,329.8,95.3,0.51,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0009,73320010,30178306,,6771264,4088645,10,EQUAL,EQUAL,367.7,97.2,0.57,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0010,65939045,27328147,,6092780,3651946,10,EQUAL,EQUAL,300.4,88.9,0.56,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0011,65990286,27362005,9351892,6159864,3714107,10,EQUAL,EQUAL,316.0,86.5,0.51,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0012,65760099,27249020,,6098433,3650978,10,EQUAL,EQUAL,411.1,92.0,0.55,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0013,65772698,27234677,,6101022,3661038,10,EQUAL,EQUAL,364.9,127.7,0.93,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0014,65302033,27049438,,6083643,3656024,10,EQUAL,EQUAL,374.5,86.0,0.52,1,
Mark-Liversedge,2026-07-04_Mark-Liversedge_Wrist_01,swing_0015,65616347,27183897,,6121707,3682604,10,EQUAL,EQUAL,387.1,98.2,0.56,1,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0001,28899018,12047664,,2768940,1611257,6,EQUAL,EQUAL,170.5,48.3,0.52,0,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0002,28564861,11771931,,2711807,1576858,6,EQUAL,EQUAL,184.3,40.0,0.43,0,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0003,28720621,11961053,,2757027,1605551,6,EQUAL,EQUAL,148.7,33.3,0.45,0,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0004,28937115,12037797,,2767453,1614269,6,EQUAL,EQUAL,173.0,36.8,0.4,0,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0005,28864065,11972925,,2769093,1627049,6,EQUAL,EQUAL,133.9,45.7,0.67,0,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0006,28730737,11835167,4028813,2674663,1543241,6,EQUAL,EQUAL,185.1,45.0,0.39,0,
Mark-Liversedge,2026-09-09_Mark-Liversedge_Wrist_01,swing_0007,28719126,11879684,,2747326,1608029,6,EQUAL,EQUAL,165.7,52.8,0.68,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0001,27636413,11527937,,2715129,1581707,6,EQUAL,EQUAL,158.9,42.6,1.02,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0002,27851355,11616264,,2699384,1561314,6,EQUAL,EQUAL,172.6,49.4,0.52,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0003,27354328,11402636,,2656493,1529133,6,EQUAL,EQUAL,138.1,29.6,0.49,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0004,28289065,11800068,,2758947,1608204,6,EQUAL,EQUAL,137.3,58.5,1.86,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0005,28825371,11984215,,2766521,1601657,6,EQUAL,EQUAL,133.6,34.6,0.6,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0006,28148044,11753045,,2777154,1634878,6,EQUAL,EQUAL,190.7,34.7,1.11,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0007,28121740,11726286,,2729970,1584303,6,EQUAL,EQUAL,128.8,42.8,0.56,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0008,28311475,11777411,,2789459,1640348,6,EQUAL,EQUAL,131.5,36.8,0.99,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0009,28093303,11697881,4073029,2776517,1637401,6,EQUAL,EQUAL,134.4,33.2,0.98,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0010,28142275,11703191,,2772776,1629763,6,EQUAL,EQUAL,137.4,45.7,0.99,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0011,27959281,11648452,,2762907,1625482,6,EQUAL,EQUAL,126.4,36.7,0.46,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0012,20221843,4533078,,731091,500890,4,EQUAL,EQUAL,102.3,56.8,1.7,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_01,swing_0013,28171252,11749196,,2761685,1615382,6,EQUAL,EQUAL,134.4,29.1,0.98,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0001,29060467,12109131,,2712983,1544415,6,EQUAL,EQUAL,158.7,48.5,0.56,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0002,29071470,12113799,,2740194,1573325,6,EQUAL,EQUAL,170.7,61.0,0.75,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0003,28850688,12026080,,2740296,1577728,6,EQUAL,EQUAL,176.4,50.2,0.53,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0004,29008407,12090687,,2750036,1587536,6,EQUAL,EQUAL,181.8,71.0,0.53,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0005,29014334,12093559,,2735401,1569247,6,EQUAL,EQUAL,157.6,44.6,0.99,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0006,28741942,11966623,4098233,2725618,1561730,6,EQUAL,EQUAL,163.4,29.2,0.45,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0007,29019575,12086026,,2750223,1581563,6,EQUAL,EQUAL,128.1,41.2,0.57,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0008,29011835,12081784,,2760968,1597598,6,EQUAL,EQUAL,140.0,37.0,0.52,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0009,29037072,12076572,,2753052,1585229,6,EQUAL,EQUAL,133.0,48.7,0.54,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0010,29025618,12101871,,2738741,1571855,6,EQUAL,EQUAL,139.0,35.7,0.53,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0011,28855690,12021854,,2737820,1573487,6,EQUAL,EQUAL,132.9,34.8,0.61,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0012,29005020,12084899,,2743045,1574817,6,EQUAL,EQUAL,156.4,34.8,0.56,0,
Mark-Liversedge,2026-09-15_Mark-Liversedge_Wrist_02,swing_0013,29025727,12094712,,2727810,1565527,6,EQUAL,EQUAL,140.8,45.9,0.61,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_01,swing_0001,27887830,11620461,,2729837,1586810,6,EQUAL,EQUAL,131.5,41.6,0.7,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_01,swing_0002,27572009,11477451,,2706950,1566161,6,EQUAL,EQUAL,125.3,34.6,3.26,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_01,swing_0003,27863521,11597099,4023247,2744832,1597969,6,EQUAL,EQUAL,128.4,64.8,1.25,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_02,swing_0001,27630860,11465554,,2723081,1595904,6,EQUAL,EQUAL,163.2,44.4,0.55,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_02,swing_0002,27979184,11655925,,2760726,1616586,6,EQUAL,EQUAL,141.9,44.6,0.54,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_02,swing_0003,27990056,11669126,,2765624,1612755,6,EQUAL,EQUAL,161.8,56.0,0.52,0,
Mark-Liversedge,2026-09-16_Mark-Liversedge_Wrist_03,swing_0001,27938607,11614615,,2750754,1601714,6,EQUAL,EQUAL,163.7,46.0,0.77,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0001,35400014,14658148,,3417578,2022415,6,EQUAL,EQUAL,188.8,68.7,0.82,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0002,35550103,14773652,,3464987,2054157,6,EQUAL,EQUAL,209.9,66.9,1.7,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0003,35528291,14763858,,3438739,2027344,6,EQUAL,EQUAL,205.6,61.0,1.66,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0004,35642254,14821156,,3463008,2054437,6,EQUAL,EQUAL,218.2,54.3,1.12,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0005,35527677,14769131,,3415310,2004084,6,EQUAL,EQUAL,166.5,53.3,1.37,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0006,35506137,14749830,5118218,3466603,2059831,6,EQUAL,EQUAL,154.3,57.6,0.89,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0007,35534919,14765905,,3467296,2062410,6,EQUAL,EQUAL,212.4,71.5,0.88,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0008,35571887,14793192,,3473973,2064376,6,EQUAL,EQUAL,205.8,58.8,1.77,0,
swings,2026-06-11_Mark-Liversedge_Wrist_01,swing_0009,35781417,14884654,,3492052,2080148,6,EQUAL,EQUAL,177.7,80.4,1.03,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0002,35134820,14666026,,3325807,1912907,6,EQUAL,EQUAL,161.6,33.1,0.77,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0003,35101443,14648900,,3364694,1943300,6,EQUAL,EQUAL,160.1,51.4,0.77,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0004,35072717,14634761,,3346861,1931023,6,EQUAL,EQUAL,193.2,54.9,1.79,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0005,35085689,14641712,,3400705,1962563,6,EQUAL,EQUAL,232.3,57.1,0.82,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0006,35140086,14681736,,3396141,1960876,6,EQUAL,EQUAL,218.6,62.7,0.71,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0007,35122967,14659988,,3364902,1946522,6,EQUAL,EQUAL,206.4,45.9,0.72,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0008,35075305,14640698,5047830,3309515,1892925,6,EQUAL,EQUAL,226.4,38.8,0.82,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0009,35120135,14665395,,3349922,1934898,6,EQUAL,EQUAL,172.9,52.0,0.78,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0010,35134660,14685308,,3347161,1906743,6,EQUAL,EQUAL,169.4,38.3,1.63,0,
swings,2026-07-03_Mark-Liversedge_Wrist_01,swing_0011,35111228,14664873,,3285742,1864906,6,EQUAL,EQUAL,163.4,46.5,0.83,0,
swings,2026-07-04_Mark-Liversedge_Wrist_01,swing_0001,35113776,14646141,,3347968,1933870,6,EQUAL,EQUAL,172.2,39.0,0.85,0,
swings,2026-07-04_Mark-Liversedge_Wrist_01,swing_0002,35083051,14647777,,3351012,1936687,6,EQUAL,EQUAL,161.3,53.2,0.85,0,
swings,2026-07-04_Mark-Liversedge_Wrist_01,swing_0003,35136961,14660593,,3353373,1940385,6,EQUAL,EQUAL,169.3,50.2,0.84,0,
swings,2026-07-04_Mark-Liversedge_Wrist_01,swing_0004,35106462,14646760,,3338864,1926819,6,EQUAL,EQUAL,174.5,49.6,1.54,0,
