swing_dir,outcome,json_bytes,ppsw_bytes,ms,error
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0001",converted,35400014,3418704,429,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0002",converted,35550103,3466109,408,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0003",converted,35528291,3439848,402,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0004",converted,35642254,3464142,401,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0005",converted,35527677,3416443,400,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0006",converted,35506137,3467718,404,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0007",converted,35534919,3468341,404,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0008",converted,35571887,3475087,464,""
"C:/PinPointStudio/corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0009",converted,35781417,3493215,486,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0002",converted,35134820,3326920,488,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0003",converted,35101443,3365799,483,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0004",converted,35072717,3347880,480,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0005",converted,35085689,3401715,479,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0006",converted,35140086,3397268,489,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0007",converted,35122967,3365956,482,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0008",converted,35075305,3310606,470,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0009",converted,35120135,3351023,478,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0010",converted,35134660,3348200,485,""
"C:/PinPointStudio/corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0011",converted,35111228,3286699,483,""
