swing,result,first_difference
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0008,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0009,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0010,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0011,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0012,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0013,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0014,EQUAL,
Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0015,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0008,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0009,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0010,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0011,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0012,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_01/swing_0013,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0001,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0002,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0003,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0004,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0005,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0006,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0007,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0008,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0009,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0010,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0011,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0012,EQUAL,
Mark-Liversedge/2026-09-15_Mark-Liversedge_Wrist_02/swing_0013,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_02/swing_0001,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_02/swing_0002,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_02/swing_0003,EQUAL,
Mark-Liversedge/2026-09-16_Mark-Liversedge_Wrist_03/swing_0001,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0008,EQUAL,
corpus/swings/2026-06-11_Mark-Liversedge_Wrist_01/swing_0009,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0008,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0009,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0010,EQUAL,
corpus/swings/2026-07-03_Mark-Liversedge_Wrist_01/swing_0011,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0001,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0002,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0003,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0004,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0005,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0006,EQUAL,
corpus/swings/2026-07-04_Mark-Liversedge_Wrist_01/swing_0007,EQUAL,
