metric,median_abs_value,R1-T1_n,R1-T1_median_delta,R1-T1_p90_delta,M28-T28_n,M28-T28_median_delta,M28-T28_p90_delta,R1-M28_n,R1-M28_median_delta,R1-M28_p90_delta
attackAngle,6.7044,38,10.2139,24.0154,38,11.651,31.205,38,1.2193,13.6289
ballPosition,33.1554,17,23.1115,32.2105,17,23.8447,33.2164,25,1.7375,7.9545
clubAngularSpeed,1720.328,52,108.3621,280.3813,51,83.9643,301.4537,55,49.1246,244.2859
clubheadPeakLead,2.2525,38,1.5045,48.8259,38,1.771,49.9254,38,1.419,14.0867
clubheadSpeed,3.5365,114,1.1029,12.2981,114,1.1752,11.342,114,0.886,9.1974
comOverLeadFoot,48.2335,152,3.9374,12.9767,152,3.2707,14.7745,152,2.8509,12.1757
elbowAlignment,18.4517,108,3.2122,13.9145,105,2.8795,15.8065,106,1.1883,14.1722
feetAlignment,3.2326,114,0.8816,3.1297,114,0.6717,3.6454,114,0.5591,3.5169
handSpeed,1.0032,114,0.4873,4.4727,114,0.5552,4.4013,114,0.2209,2.2019
headLift,1.8823,114,0.3913,3.8337,114,0.4486,5.463,114,0.2928,4.1989
headSway,2.2446,114,0.2762,0.9854,114,0.3461,1.0962,114,0.22,0.9535
headTilt,10.771,114,5.4556,58.6118,114,6.4074,86.9155,114,4.616,68.2545
hipLineTilt,5.2688,266,1.2456,5.2499,264,1.1117,4.3755,264,0.7569,3.9073
hm.forearmRotation,19.4691,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
hm.leadWristFlexExt,4.7632,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
hm.leadWristRadUln,31.4732,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
impactShaftLean,9.3956,38,2.0,16.3,38,5.5,17.9,38,1.0,13.6
lagAngle,8.8175,114,2.2332,8.0847,114,2.435,8.1738,114,1.5435,5.588
leadArmAngularSpeed,558.514,70,32.5583,138.9441,70,21.0443,132.1933,72,13.9718,80.6894
leadArmToTorso,66.3525,151,2.1231,17.0761,151,2.425,19.3541,151,1.2156,9.9119
leadFootFlare,70.1142,38,3.3014,17.0067,38,3.6401,18.3253,38,3.3167,12.9171
leadHandWidth,68.8777,151,2.1394,12.6134,151,1.9468,14.352,151,1.1235,10.9644
leadHeelLift,0.9518,60,0.4134,2.1454,63,0.5662,2.9902,84,0.3366,1.7324
leadKneeDrift,3.5642,114,1.7841,6.1113,114,1.8582,6.5961,114,1.2633,5.4483
leadUpperArmToChest,52.0077,151,1.5224,7.9885,151,1.5734,7.9442,151,1.0932,5.2724
lowPointAhead,2.0104,22,5.2799,12.7845,19,4.6695,12.2688,26,0.7546,2.7718
pelvisAngularSpeed,182.1784,46,144.137,539.7599,48,163.1236,584.3791,54,71.1658,457.3326
pelvisLift,5.1549,114,2.1088,7.1234,114,1.7958,5.5996,114,1.7862,5.1391
pelvisSway,14.9388,114,0.8588,3.3205,114,0.9559,3.3219,114,0.8102,2.5838
plumbBobDistance,0.9021,140,0.3418,1.0657,145,0.3555,1.1799,194,0.2364,0.6402
secondaryAxisTilt,5.3395,113,0.6373,3.341,113,0.7811,4.4538,113,0.4495,3.0117
shaftAngleVsHorizontal,67.0,152,6.2699,48.8425,152,7.1573,51.8037,152,3.0,35.7
shoulderPlaneAngle,11.5047,79,0.6034,2.7172,78,0.7065,2.394,79,0.5074,1.5186
spineSideBend,8.0892,79,1.9533,11.8907,78,1.6235,5.8008,79,1.0172,9.7558
stanceWidth,81.5804,38,1.5096,3.8022,38,1.9249,3.8177,38,1.0833,2.5476
stanceWidthMm,239.3481,20,4.5502,13.6544,21,4.5671,11.3029,28,1.7139,7.2596
swingPlaneIotaBack,25.2797,38,4.6564,12.9629,37,5.3312,12.6797,37,2.2019,6.5137
swingPlaneIotaDown,22.5102,38,5.0655,14.1813,37,5.105,11.594,37,3.0903,10.4834
tempoBackswing,0.7569,38,0.0135,0.079,38,0.0126,0.0689,38,0.0068,0.0925
tempoRatio,2.6417,38,0.0889,0.4155,38,0.1039,0.4066,38,0.0666,0.9228
thoraxAngularSpeed,358.1905,39,84.6836,267.1432,38,70.7947,454.3429,42,55.5413,264.2711
thoraxLateralDrift,39.4956,113,5.3544,17.9485,113,4.9947,26.4305,113,3.4507,22.9919
toeLineAngle,176.939,38,2.0598,332.1932,38,3.1054,348.5557,38,1.877,168.6333
trailElbowHeight,98.2427,108,2.596,17.8965,109,2.6359,13.192,112,1.7273,8.6162
trailFootFlare,121.7238,38,2.3682,10.8999,38,2.925,10.0544,38,1.7006,7.2286
trailWristFlexExt,10.2135,152,4.611,19.9463,152,4.2573,32.2218,152,2.7985,32.4018
transitionPlaneDelta,5.891,38,5.4311,10.8838,37,6.603,13.0805,37,4.5315,12.4693
