item,R1-R2_n,R1-R2_median,R1-R2_p90,R1-M1_n,R1-M1_median,R1-M1_p90,M1-M23_n,M1-M23_median,M1-M23_p90,R1-M23_n,R1-M23_median,R1-M23_p90,R1-M28_n,R1-M28_median,R1-M28_p90,R1-H23_n,R1-H23_median,R1-H23_p90,R1-H28_n,R1-H28_median,R1-H28_p90,R1-M18_n,R1-M18_median,R1-M18_p90,R1-M12_n,R1-M12_median,R1-M12_p90,PR-PM1_n,PR-PM1_median,PR-PM1_p90,PR-PM23_n,PR-PM23_median,PR-PM23_p90,PR-PM28_n,PR-PM28_median,PR-PM28_p90,PR-PH23_n,PR-PH23_median,PR-PH23_p90,PR-PH28_n,PR-PH28_median,PR-PH28_p90,PR-PM18_n,PR-PM18_median,PR-PM18_p90,PR-PM12_n,PR-PM12_median,PR-PM12_p90
ball_found_agreement,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0
ball_launch_found_mismatch,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,1.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,1.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
ball_launch_ms,20,0.0,0.0,20,0.0,2.6719,22,0.0,5.3127,20,0.0,0.0,19,0.0,261.2464,20,0.0,151.4317,19,0.0,22.807,20,0.0,0.0,20,0.0,13.3895,20,0.0,29.4745,20,0.0,0.0,19,0.0,261.2464,20,0.0,164.82,19,0.0,22.807,20,0.0,0.0,20,0.0,13.3895
ball_pos_px_median,32,0.0,0.0,32,0.0185,0.3029,33,0.0207,0.3816,32,0.0173,0.6784,32,0.0382,0.7163,32,0.0099,0.2099,32,0.0178,0.8403,32,0.0094,0.1442,32,0.0063,0.0652,32,0.0185,0.2993,32,0.0173,0.6609,32,0.0382,0.6773,32,0.0099,0.2273,32,0.0178,0.8352,32,0.0094,0.1436,32,0.0063,0.058
club_frames_tracked_in_one_only,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
club_head_px_median,38,0.0,0.0,38,4.4114,9.9139,38,2.657,9.7647,38,4.7869,16.0039,38,5.1406,24.2697,38,4.2329,8.701,38,4.628,12.1947,38,3.4939,11.6396,38,3.9169,12.1835,38,1.0276,5.7763,38,0.9159,6.4822,38,1.2347,16.1082,38,0.3683,3.1745,38,0.5753,5.3618,38,0.4182,5.7784,38,0.2383,3.2043
club_head_px_p95,38,0.0,0.0,38,29.5724,83.1505,38,29.4147,119.3664,38,34.7188,118.0618,38,36.7999,193.1826,38,32.9408,234.8553,38,39.9813,133.2129,38,31.9902,179.2107,38,31.0511,93.3463,38,18.2173,40.1578,38,15.7874,40.0036,38,23.1599,46.2951,38,11.7543,39.1501,38,15.0755,43.1547,38,11.666,33.0558,38,15.0725,28.1268
club_theta_deg_median,38,0.0,0.0,38,0.1628,2.0,38,0.1033,2.0,38,0.2107,2.3,38,0.3967,2.6004,38,0.1416,1.0,38,0.1719,1.3,38,0.1033,2.0,38,0.1188,2.0,38,0.0,1.0,38,0.0,0.0601,38,0.0017,2.0,38,0.0,0.0032,38,0.0,0.65,38,0.0,0.65,38,0.0,0.0009
club_theta_deg_p95,38,0.0,0.0,38,3.0274,12.46,38,4.0,19.0245,38,4.0,19.2,38,5.914,23.7,38,4.0,24.75,38,5.1,20.5289,38,3.0,26.0743,38,4.25,16.3,38,1.0,5.2804,38,1.55,6.3419,38,2.012,6.813,38,1.0,4.0,38,1.0,6.9076,38,1.0,3.0,38,1.0,3.0
metric:attackAngle:P5,38,0.0,0.0,38,13.6005,56.6447,38,21.4339,44.0904,38,20.5185,50.7248,38,19.3315,48.2381,38,18.8096,51.6309,38,15.5297,52.9437,38,16.5886,44.4346,38,18.8368,38.3148,38,11.2502,47.6116,38,15.6043,53.381,38,21.9817,47.4837,38,17.3533,46.1949,38,12.2082,39.6366,38,12.8275,38.0872,38,9.7297,30.4664
