swing,pair,item,value,n
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,pose_body_px_mean,3.1629,4938
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,pose_body_px_p95,7.6285,4938
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,pose_hands_px_mean,5.0294,9030
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,pose_hands_px_p95,12.0943,9030
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,pose_frames_common,215,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,club_theta_deg_median,0.0,745
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,club_theta_deg_p95,3.0,745
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,club_head_px_median,4.6647,745
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,club_head_px_p95,25.9942,745
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,club_frames_tracked_in_one_only,0,745
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,ball_found_agreement,0.9543,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,ball_pos_px_median,0.7745,20
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,ball_launch_ms,26.719,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,ball_launch_found_mismatch,0.0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P00_ms,0.0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P01_ms,0.0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P02_ms,20.002,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P05_ms,0.0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P07_ms,0.0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P08_ms,0.931,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P09_ms,0.619,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P12_ms,3.295,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P13_ms,0.57,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_P14_ms,1.502,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,phase_count_diff,0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,metric_value_count_diff,2,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,metric_keys_only_in_first,0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,metric_keys_only_in_second,0,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,metric:attackAngle:P5,30.3201,
2026-07-05_Mark-Liversedge_Wrist_02/swing_0001,R1-M1,metric:ballPosition:P0,2.9597,
