metric,median_abs_value,R1-M1_n,R1-M1_median_delta,R1-M1_p90_delta,R1-R2_n,R1-R2_median_delta,R1-R2_p90_delta,M1-M2_n,M1-M2_median_delta,M1-M2_p90_delta,PR-PM_n,PR-PM_median_delta,PR-PM_p90_delta
attackAngle,23.8794,38,13.6005,56.6447,38,0.0,0.0,38,0.0,0.0,38,11.2502,47.6116
ballPosition,34.0359,25,1.7381,7.2744,25,0.0,0.0,25,0.0,0.0,25,0.0116,0.0385
clubAngularSpeed,1689.8259,58,45.6178,198.6401,60,0.0,0.0,61,0.0,0.0,60,17.5938,107.1833
clubheadPeakLead,50.082,38,2.9375,158.6384,38,0.0,0.0,38,0.0,0.0,38,0.0,52.5002
clubheadSpeed,3.7152,114,0.7864,6.9357,114,0.0,0.0,114,0.0,0.0,114,0.044,1.35
comOverLeadFoot,47.8392,152,2.2431,8.2195,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0
elbowAlignment,18.2939,108,0.9848,8.2394,110,0.0,0.0,111,0.0,0.0,110,0.0,0.0
feetAlignment,3.1191,114,0.4869,2.3696,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
handSpeed,1.0348,114,0.1704,1.2399,114,0.0,0.0,114,0.0,0.0,114,0.0029,0.0621
headLift,1.8643,114,0.2067,3.299,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
headSway,2.282,114,0.1716,0.7059,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
headTilt,9.3862,114,4.5003,54.0711,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
hipLineTilt,5.4622,266,0.5619,3.6215,266,0.0,0.0,266,0.0,0.0,266,0.0,0.0
hm.forearmRotation,19.4691,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
hm.leadWristFlexExt,4.7632,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
hm.leadWristRadUln,31.4732,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0,33,0.0,0.0
impactShaftLean,9.5,38,0.6388,4.0833,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
lagAngle,8.4452,114,1.1028,5.1534,114,0.0,0.0,114,0.0,0.0,114,0.041,1.126
leadArmAngularSpeed,558.514,72,12.0554,67.1187,72,0.0,0.0,72,0.0,0.0,72,2.519,20.708
leadArmToTorso,66.3525,151,0.9429,10.3502,151,0.0,0.0,152,0.0,0.0,151,0.0,0.0
leadFootFlare,69.3321,38,2.1658,8.4815,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
leadHandWidth,68.8777,151,0.9801,15.918,151,0.0,0.0,152,0.0,0.0,151,0.0,0.0
leadHeelLift,0.7793,84,0.2496,1.6536,84,0.0,0.0,87,0.0,0.0,84,0.0,0.0
leadKneeDrift,3.6307,114,1.058,4.328,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
leadUpperArmToChest,52.3544,151,0.8296,6.9185,151,0.0,0.0,152,0.0,0.0,151,0.0,0.0
lowPointAhead,1.9456,28,0.3269,1.354,29,0.0,0.0,29,0.0,0.0,29,0.1529,0.8917
pelvisAngularSpeed,208.5065,57,61.9609,398.4207,59,0.0,0.0,64,0.0,0.0,59,0.0,0.0
pelvisLift,5.1549,114,1.3252,5.7979,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
pelvisSway,14.82,114,0.5443,1.8709,114,0.0,0.0,114,0.0,0.0,114,0.0,0.0
plumbBobDistance,0.8498,196,0.1568,0.5982,196,0.0,0.0,203,0.0,0.0,196,0.0,0.0
secondaryAxisTilt,5.3395,113,0.3188,3.3149,113,0.0,0.0,114,0.0,0.0,113,0.0,0.0
shaftAngleVsHorizontal,66.0,152,2.0,33.9,152,0.0,0.0,152,0.0,0.0,152,0.98,21.9947
shoulderPlaneAngle,11.7808,80,0.378,1.1163,84,0.0,0.0,88,0.0,0.0,84,0.0,0.0
spineSideBend,8.3683,80,1.1062,9.2952,84,0.0,0.0,88,0.0,0.0,84,0.0,0.0
stanceWidth,81.3392,38,0.8324,2.3763,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
stanceWidthMm,239.9876,28,2.032,5.1445,28,0.0,0.0,29,0.0,0.0,28,0.0,0.0
swingPlaneIotaBack,25.3804,38,1.9185,7.2497,38,0.0,0.0,38,0.0,0.0,38,1.6511,5.1228
swingPlaneIotaDown,22.4379,38,2.7888,8.7507,38,0.0,0.0,38,0.0,0.0,38,1.6475,9.2263
tempoBackswing,0.7572,38,0.0065,0.0337,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
tempoRatio,2.6547,38,0.0237,0.2208,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
thoraxAngularSpeed,355.5071,44,55.6787,421.1694,48,0.0,0.0,52,0.0,0.0,48,0.0,7.4459
thoraxLateralDrift,39.8439,113,2.6376,17.5264,113,0.0,0.0,114,0.0,0.0,113,0.0,0.0
toeLineAngle,177.2789,38,1.8857,349.9014,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
trailElbowHeight,97.464,114,0.9482,7.1212,118,0.0,0.0,124,0.0,0.0,118,0.0,0.0
trailFootFlare,121.7479,38,1.9651,8.5726,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
trailWristFlexExt,10.1558,152,2.4383,19.7716,152,0.0,0.0,152,0.0,0.0,152,0.0,0.0
transitionPlaneDelta,5.9515,38,4.6174,12.2373,38,0.0,0.0,38,0.0,0.0,38,3.425,14.7232
