item,R1-M1_n,R1-M1_median,R1-M1_p90,R1-R2_n,R1-R2_median,R1-R2_p90,M1-M2_n,M1-M2_median,M1-M2_p90,PR-PM_n,PR-PM_median,PR-PM_p90
ball_found_agreement,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0,38,1.0,1.0
ball_launch_found_mismatch,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
ball_launch_ms,20,0.0,2.6719,20,0.0,0.0,22,0.0,0.0,20,0.0,29.4745
ball_pos_px_median,32,0.0185,0.3029,32,0.0,0.0,33,0.0,0.0,32,0.0185,0.2993
club_frames_tracked_in_one_only,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
club_head_px_median,38,4.4114,9.9139,38,0.0,0.0,38,0.0,0.0,38,1.0276,5.7763
club_head_px_p95,38,29.5724,83.1505,38,0.0,0.0,38,0.0,0.0,38,18.2173,40.1578
club_theta_deg_median,38,0.1628,2.0,38,0.0,0.0,38,0.0,0.0,38,0.0,1.0
club_theta_deg_p95,38,3.0274,12.46,38,0.0,0.0,38,0.0,0.0,38,1.0,5.2804
metric:attackAngle:P5,38,13.6005,56.6447,38,0.0,0.0,38,0.0,0.0,38,11.2502,47.6116
metric:ballPosition:P0,25,1.7381,7.2744,25,0.0,0.0,25,0.0,0.0,25,0.0116,0.0385
metric:clubAngularSpeed:P5,20,61.007,137.3463,22,0.0,0.0,23,0.0,0.0,22,13.8707,121.8169
metric:clubAngularSpeed:P9,38,45.6178,225.176,38,0.0,0.0,38,0.0,0.0,38,23.1342,85.7523
metric:clubheadPeakLead:P5,38,2.9375,158.6384,38,0.0,0.0,38,0.0,0.0,38,0.0,52.5002
metric:clubheadSpeed:P0,38,0.3901,2.5256,38,0.0,0.0,38,0.0,0.0,38,0.0519,0.6274
metric:clubheadSpeed:P2,38,0.4506,3.222,38,0.0,0.0,38,0.0,0.0,38,0.0117,0.4958
metric:clubheadSpeed:P5,38,1.7556,9.0316,38,0.0,0.0,38,0.0,0.0,38,0.1397,4.9614
metric:comOverLeadFoot:P0,38,2.4955,24.1304,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:comOverLeadFoot:P2,38,2.9133,7.5859,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:comOverLeadFoot:P5,38,1.5799,5.7755,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:comOverLeadFoot:P7,38,2.1696,6.234,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:elbowAlignment:P0,38,1.8813,21.5209,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:elbowAlignment:P2,32,1.9661,6.2545,34,0.0,0.0,35,0.0,0.0,34,0.0,0.0
metric:elbowAlignment:P5,38,0.3982,2.884,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:feetAlignment:P0,38,0.5594,5.7759,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:feetAlignment:P2,38,0.452,1.5042,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:feetAlignment:P5,38,0.4149,1.35,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:handSpeed:P0,38,0.0742,1.125,38,0.0,0.0,38,0.0,0.0,38,0.0011,0.0129
metric:handSpeed:P2,38,0.1537,0.8586,38,0.0,0.0,38,0.0,0.0,38,0.0015,0.012
metric:handSpeed:P5,38,0.2462,1.2263,38,0.0,0.0,38,0.0,0.0,38,0.0307,0.1562
metric:headLift:P0,38,0.2958,4.3668,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headLift:P2,38,0.1663,1.7712,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headLift:P5,38,0.2067,0.9032,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headSway:P0,38,0.0781,0.5301,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headSway:P2,38,0.262,0.7635,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headSway:P5,38,0.153,0.7107,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headTilt:P0,38,4.2852,41.14,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headTilt:P2,38,6.0799,49.532,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:headTilt:P5,38,3.2517,54.4417,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
metric:hipLineTilt:P0,38,1.0027,10.5877,38,0.0,0.0,38,0.0,0.0,38,0.0,0.0
