swing,frame,t_us,theta_deg,s,r0,ncc,margin,amp,resp,variant,accepted,gate
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,190,1272997,216.250,0.3600,242.0,0.5650,0.0867,63.55,35.90,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,191,1279754,216.000,0.3550,237.0,0.5701,0.0214,62.84,35.82,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,192,1286379,232.500,0.3200,12.0,0.6389,0.1372,60.34,38.55,V012,0,ncc|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,193,1293144,232.500,0.3250,17.0,0.6587,0.2098,56.02,36.91,V012,0,ncc|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,194,1299771,234.750,0.3175,19.0,0.6925,0.1939,58.05,40.20,V012,0,ncc|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,195,1306472,234.750,0.3125,15.0,0.6992,0.2317,61.25,42.83,V012,0,ncc|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,196,1313190,235.000,0.3150,20.0,0.7277,0.3174,58.38,42.49,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,197,1319967,235.000,0.3150,20.0,0.7262,0.3932,58.96,42.82,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,198,1326552,235.000,0.3150,22.0,0.7207,0.1256,58.47,42.14,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,199,1333348,52.500,0.3950,116.0,0.6274,0.0229,66.31,41.60,V012,0,ncc|margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,200,1339942,52.750,0.3950,111.0,0.6307,0.1696,64.97,40.98,V012,0,ncc
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,201,1346809,234.750,0.3150,23.0,0.7229,0.1113,59.24,42.82,V012,0,margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,202,1353341,234.750,0.3150,22.0,0.7352,0.2993,58.19,42.78,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,203,1360032,53.750,0.3950,126.0,0.6610,0.2014,62.94,41.60,V012,0,ncc
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,204,1366759,54.750,0.3950,119.0,0.7111,0.1275,65.57,46.62,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,205,1373452,55.000,0.3925,115.0,0.7062,0.0014,65.87,46.52,V012,0,margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,206,1380101,239.500,0.2925,9.0,0.7247,0.0209,66.59,48.26,V012,0,margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,207,1386960,55.500,0.3950,126.0,0.7234,0.0180,65.80,47.60,V012,0,margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,208,1393603,56.000,0.3925,127.0,0.7865,0.0859,68.11,53.56,V012,0,margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,209,1400244,234.750,0.3175,29.0,0.7015,0.0328,58.55,41.07,V012,0,margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,210,1406958,54.500,0.4150,157.0,0.7477,0.0897,54.12,40.47,V012,0,margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,211,1413717,57.750,0.3900,121.0,0.7509,0.3646,71.92,54.00,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,212,1420311,239.750,0.2925,16.0,0.7441,0.3763,64.12,47.71,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,213,1427238,240.250,0.2925,19.0,0.7402,0.3928,64.90,48.04,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,214,1433753,239.500,0.2950,19.0,0.7408,0.2780,65.50,48.52,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,215,1440396,239.750,0.2950,22.0,0.7536,0.0187,66.23,49.91,V012,0,margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,216,1447108,58.500,0.3925,130.0,0.7357,0.1523,69.81,51.36,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,217,1453843,57.500,0.3900,128.0,0.7167,0.0571,68.61,49.17,V012,0,margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,218,1460588,246.250,0.3500,104.0,0.6265,0.1503,59.44,37.24,V012,0,ncc|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,219,1467397,246.000,0.3500,98.0,0.6196,0.0452,58.73,36.39,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,220,1473937,246.500,0.3500,104.0,0.6247,0.1029,59.71,37.30,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,221,1480739,246.000,0.3500,101.0,0.6255,-0.7627,58.72,36.73,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,222,1487388,239.750,0.2950,17.0,0.7347,0.3621,64.20,47.17,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,223,1494024,103.500,0.3600,92.0,0.5875,-0.1120,60.39,35.48,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,224,1500712,246.000,0.3500,101.0,0.6347,-0.6800,58.76,37.29,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,225,1507432,231.250,0.4150,52.0,0.6243,0.0121,63.73,39.79,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,226,1514075,57.250,0.3900,128.0,0.7464,0.1071,71.16,53.11,V012,0,margin
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,227,1520820,239.500,0.2950,17.0,0.7213,-0.1055,64.04,46.19,V012,0,margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,228,1527639,58.250,0.3900,126.0,0.7594,0.4214,70.64,53.65,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,229,1534228,58.500,0.3900,126.0,0.7537,0.2484,67.50,50.87,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,230,1540976,231.250,0.4175,57.0,0.6191,0.0101,62.07,38.43,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,231,1547820,216.750,0.3850,240.0,0.6769,-0.7197,47.42,32.10,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,232,1554488,234.250,0.3175,31.0,0.7057,0.1632,58.10,41.00,V012,0,r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,233,1561027,240.000,0.2950,22.0,0.6840,-0.3073,64.16,43.89,V012,0,ncc|margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,234,1567717,57.250,0.3900,126.0,0.7495,0.3450,70.34,52.72,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,235,1574439,57.000,0.3900,121.0,0.7654,0.2699,71.82,54.97,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,236,1581216,234.000,0.3175,34.0,0.6969,0.0163,59.96,41.78,V012,0,ncc|margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,237,1587865,234.500,0.3150,23.0,0.7114,0.0773,56.40,40.12,V012,0,margin|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,238,1594515,234.000,0.3175,28.0,0.7050,0.0871,56.59,39.90,V012,0,margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,239,1601350,53.750,0.3700,96.0,0.6532,0.1346,57.60,37.63,V012,0,ncc|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,240,1607916,230.500,0.4200,48.0,0.6374,0.0730,61.31,39.08,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,241,1614675,230.750,0.4200,56.0,0.6277,0.0467,61.67,38.71,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,242,1621262,51.750,0.3650,82.0,0.7158,0.0301,45.11,32.29,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,243,1628121,56.500,0.3900,123.0,0.7672,0.3719,71.15,54.58,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,244,1634675,56.250,0.3925,133.0,0.7643,0.2730,69.39,53.04,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,245,1641377,201.000,0.2850,218.0,0.6661,0.0332,52.94,35.26,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,246,1648255,56.250,0.3925,122.0,0.7730,0.3771,71.86,55.55,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,247,1654917,204.250,0.3100,216.0,0.6441,0.0736,59.86,38.55,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,248,1661480,234.000,0.3175,11.0,0.7076,0.1935,55.32,39.15,V012,0,resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,249,1668178,56.000,0.3900,126.0,0.7831,0.3401,68.64,53.75,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,250,1674887,56.250,0.3900,128.0,0.7853,0.3695,73.11,57.41,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,251,1681689,55.750,0.3900,126.0,0.7859,0.3133,72.85,57.25,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,252,1688325,55.750,0.3900,126.0,0.7843,0.4114,72.41,56.79,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,253,1694931,55.500,0.3900,126.0,0.7866,0.4225,69.08,54.34,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,254,1701630,55.500,0.3900,126.0,0.7836,0.4736,68.86,53.96,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,255,1708327,55.500,0.3900,125.0,0.7926,0.4515,72.26,57.28,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,256,1715101,55.500,0.3900,126.0,0.7946,0.4317,73.28,58.23,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,257,1721707,55.250,0.3900,126.0,0.8001,0.4246,72.00,57.60,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,258,1728436,52.250,0.3675,81.0,0.7476,0.2292,50.76,37.95,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,259,1735322,51.750,0.3675,81.0,0.7660,0.2114,51.74,39.64,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,260,1741946,51.750,0.3650,74.0,0.7834,0.2054,52.55,41.17,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,261,1748679,55.000,0.3900,123.0,0.7941,0.4452,73.58,58.43,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,262,1755199,55.000,0.3900,118.0,0.7882,0.3964,73.12,57.63,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,263,1761999,54.750,0.3875,114.0,0.7916,0.4525,68.43,54.17,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,264,1768645,54.500,0.3900,115.0,0.7952,0.5360,67.10,53.36,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,265,1775343,54.500,0.3900,113.0,0.7839,0.3968,70.61,55.35,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,266,1782023,232.000,0.3050,18.0,0.5991,-0.9803,62.59,37.50,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,267,1788757,49.750,0.3725,85.0,0.7549,0.0370,42.66,32.20,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,268,1795508,54.500,0.3925,120.0,0.7797,0.4244,66.99,52.23,V012,1,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,269,1802266,51.000,0.3650,73.0,0.7981,0.1924,50.44,40.26,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,270,1809041,54.000,0.3900,121.0,0.7844,0.4596,69.00,54.13,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,271,1815605,51.000,0.3675,75.0,0.8189,0.1828,50.52,41.37,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,272,1822243,51.000,0.3675,75.0,0.8131,0.0898,49.17,39.99,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,273,1828976,50.750,0.3675,80.0,0.7941,0.2479,50.26,39.91,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,274,1835767,57.500,0.3750,137.0,0.7498,0.0690,44.20,33.14,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,275,1842341,54.500,0.3875,114.0,0.7924,0.4244,63.99,50.70,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,276,1849114,232.000,0.3200,224.0,0.6688,0.0315,52.24,34.94,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,277,1855686,50.500,0.3650,73.0,0.8182,0.1767,48.14,39.39,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,278,1862576,50.750,0.3725,90.0,0.7311,0.0607,48.89,35.74,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,279,1869078,231.250,0.3225,214.0,0.6799,0.0624,50.31,34.21,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,280,1875789,50.000,0.3725,90.0,0.7234,0.0168,43.30,31.33,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,281,1882644,231.250,0.3200,211.0,0.6802,-0.7518,51.18,34.81,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,282,1889198,239.250,0.3700,246.0,0.6680,0.0583,52.57,35.12,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,283,1895982,142.500,0.3275,196.0,0.6578,0.0696,50.93,33.50,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,284,1902608,50.750,0.3675,83.0,0.8284,0.3458,47.84,39.63,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,285,1909394,238.000,0.3400,200.0,0.6025,0.0151,54.45,32.80,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,286,1916012,50.500,0.3725,90.0,0.7498,0.0572,48.61,36.45,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,287,1922698,48.500,0.3775,103.0,0.7152,0.0425,39.24,28.06,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,288,1929385,143.000,0.3275,194.0,0.6666,0.0409,50.91,33.94,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,289,1936090,48.500,0.3775,103.0,0.7237,0.0511,39.26,28.42,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,290,1942926,240.250,0.3250,175.0,0.6781,0.0169,50.10,33.97,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,291,1949564,137.250,0.3575,243.0,0.6094,0.0009,51.59,31.44,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,292,1956366,143.000,0.3250,190.0,0.6564,0.0101,50.26,32.99,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,293,1962967,50.250,0.3725,90.0,0.6997,0.0013,47.91,33.53,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,294,1969613,50.750,0.3675,83.0,0.8285,0.3610,50.23,41.61,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,295,1976357,240.000,0.3275,180.0,0.6710,0.0414,49.96,33.52,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,296,1983014,49.250,0.3725,93.0,0.7286,-0.1411,40.88,29.78,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,297,1989684,50.000,0.3725,91.0,0.7479,-0.1348,42.60,31.86,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,298,1996462,50.750,0.3675,84.0,0.8418,0.3730,50.04,42.12,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,299,2003066,50.500,0.3675,84.0,0.8124,0.3133,50.30,40.86,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,300,2009747,143.000,0.3275,194.0,0.6725,0.0598,51.68,34.75,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,301,2016655,48.000,0.3425,29.0,0.6904,0.0655,40.53,27.98,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,302,2023178,48.250,0.3400,24.0,0.6768,-0.0294,41.24,27.91,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,303,2029874,48.500,0.3775,103.0,0.7165,0.1037,39.67,28.42,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,304,2036555,50.750,0.3675,84.0,0.8247,0.1687,50.67,41.79,V012,0,
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,305,2043336,238.000,0.3350,193.0,0.6374,-0.5546,54.46,34.72,V012,0,ncc|margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,306,2050037,49.750,0.3725,93.0,0.7438,0.1462,42.57,31.66,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,307,2056735,48.250,0.3400,24.0,0.6842,0.0178,41.42,28.34,V012,0,ncc|margin|resp|r0
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,308,2063471,49.750,0.3725,93.0,0.7221,0.1326,42.26,30.52,V012,0,resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,309,2070093,50.250,0.3725,90.0,0.7194,0.0524,47.91,34.47,V012,0,margin|resp
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,310,2076862,143.500,0.3250,186.0,0.6796,-0.6883,50.03,34.00,V012,0,ncc|margin|resp
