swing,frame,t_us,fo_dt_us,fo_theta,fo_len,fo_flags,fo_measured,fo_phase,phase_band,rho_F,rho_pred,sighted,u_x,u_z,u_y,corr_a,corr_b,band_ok,band_theta,band_s,band_r0,seg_ok,seg_theta,seg_s,seg_r0,dtl_tier,dtl_theta_out,fo_band_ok,fo_band_s,fo_seg_s,dtl_grip_x,dtl_grip_y,fo_grip_x,fo_grip_y,aff_pred_y,aff_resid_px,scan_theta,scan_score,scan_margin,scan_rho_obs,scan_chan,ball_ok,ball_theta,anchor_ok,anchor_theta,anchor_score,L_full,L_D
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,354,2371462,3167,1.72788,348.65,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.17324,269.70,530.93,699.59,615.31,545.60,14.67,-2.54818,46.460,5.247,0.8990,raw,1,1.72158,1,1.09083,39.22,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,355,2378386,3277,1.72788,348.95,1,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,-,269.56,531.02,699.70,614.93,545.14,14.12,-2.54818,45.009,2.936,0.8990,raw,1,1.72121,1,1.03847,39.15,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,356,2384911,3242,1.72788,349.12,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.17324,269.45,530.98,699.75,614.44,544.54,13.56,-2.54818,46.121,5.521,0.8990,raw,1,1.72089,1,1.02974,39.89,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,357,2391674,3263,1.72788,349.19,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.17324,269.35,530.72,699.74,613.75,543.71,13.00,-2.54818,44.134,2.742,0.8990,raw,1,1.72050,1,1.08210,40.82,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,358,2398409,3003,1.72788,349.18,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.17324,269.27,530.27,699.69,612.60,542.32,12.04,-2.21657,44.576,3.279,0.8990,raw,0,-,0,-,-,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,359,2405183,2966,1.72788,349.10,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.17324,269.22,529.89,699.58,611.47,540.94,11.06,-2.54818,44.186,3.060,0.8990,raw,0,-,0,-,-,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,360,2411769,3077,1.72788,349.00,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.17204,269.26,529.78,699.38,610.89,540.24,10.46,1.02974,40.321,0.443,0.8990,raw,0,-,0,-,-,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,361,2418485,3023,1.72788,348.86,20,0,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,-,269.41,530.08,698.96,611.63,541.14,11.06,-2.21657,40.651,0.547,0.8990,raw,0,-,0,-,-,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,362,2425073,3128,1.72788,348.72,17,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,0.13885,269.64,530.63,698.30,613.61,543.54,12.90,-2.21657,42.435,3.021,0.8990,raw,0,-,0,-,-,303.15,307.07
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,363,2431770,3198,1.72788,348.59,1,1,0,address,1.0000,0.9877,1,-0.1564,-0.9877,0.0000,1.57080,1.57080,0,-,-,-,0,-,-,-,pred,209.000,0,-,-,269.90,531.27,697.56,616.11,546.57,15.30,-2.56563,45.443,2.391,0.8990,raw,0,-,0,-,-,303.15,307.07
