session,swing,handPathLoop_pct_rise,transitionPlaneDelta_deg
2026-06-11,swing_0001,10.4,-4.1
2026-06-11,swing_0002,10.5,2.9
2026-06-11,swing_0003,13.2,0.5
2026-06-11,swing_0004,24.4,-13.8
2026-06-11,swing_0005,22.3,9.4
2026-06-11,swing_0006,15.9,8.5
2026-06-11,swing_0007,12.4,8.4
2026-06-11,swing_0008,4.0,-19.9
2026-06-11,swing_0009,13.4,3.7
2026-07-03,swing_0002,,-2.1
2026-07-03,swing_0003,17.7,5.6
2026-07-03,swing_0004,25.0,-9.0
2026-07-03,swing_0005,21.4,1.2
2026-07-03,swing_0006,13.0,7.4
2026-07-03,swing_0007,23.1,-1.0
2026-07-03,swing_0008,31.2,3.9
2026-07-03,swing_0009,7.5,2.2
2026-07-03,swing_0010,5.9,2.3
2026-07-03,swing_0011,32.0,-1.9
2026-07-04,swing_0001,30.3,-13.1
2026-07-04,swing_0002,19.9,-2.5
2026-07-04,swing_0003,23.1,4.9
2026-07-04,swing_0004,19.6,0.9
2026-07-04,swing_0005,23.3,-4.5
2026-07-04,swing_0006,20.3,-4.0
2026-07-04,swing_0007,20.0,-6.8
2026-07-04,swing_0008,22.5,-0.1
2026-07-04,swing_0009,29.7,2.2
2026-07-04,swing_0010,32.2,4.1
2026-07-04,swing_0011,31.9,-1.5
2026-07-04,swing_0012,21.4,2.7
2026-07-04,swing_0013,18.4,3.5
2026-07-04,swing_0014,22.1,-7.4
2026-07-04,swing_0015,24.0,6.8
