swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,1,0,100.124,169.66256303264217,338.146627457472,faceOn,1,1,120.246,10.761999993851898,1364.3435370953307,faceOn,1,1,53.557,17.54007779529819,877.2083667929497,faceOn,1,1,1.541,5.186283808792657,1984.86936523736,faceOnClub,thorax → leadArm → club,True,partial,estimated,1.541
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,1,0,127.453,67.9016573155566,419.35878061174907,faceOn,1,1,140.711,4.329654441968514,2119.894072470842,faceOn,1,1,60.304,15.684060068648444,778.9309045102519,faceOn,1,1,3.042,7.334963419938505,1832.8941702537202,faceOnClub,thorax → leadArm → club,True,partial,estimated,3.042
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,1,1,153.973,33.17463865091758,447.8013279084612,faceOn,1,1,120.521,7.425918751194779,2075.3383883222364,faceOn,1,1,153.973,11.109335096863102,1000.584247659623,faceOn,1,1,248.248,12.291024276896424,694.3305101301656,faceOnClub,club → pelvis → leadArm → thorax,False,unresolved,estimated,102.415
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,1,0,73.936,50.309435079802256,284.15713282354733,faceOn,1,1,120.817,7.2583797563512285,1915.8748023869514,faceOn,1,1,160.961,22.266732667184737,709.687302621323,faceOn,1,1,35.033,14.89651698210376,1603.9712432638314,faceOnClub,leadArm → thorax → club,True,armBeforeThorax,estimated,1.7
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,1,1,140.616,32.844676280832644,389.5937920554921,faceOn,1,1,207.504,9.549452655663982,5171.716981765653,faceOn,1,1,207.504,6.541134267315552,4211.050000042589,faceOn,1,1,51.956,11.071759072304658,1622.1531590534946,faceOnClub,thorax → leadArm → pelvis → club,False,unresolved,estimated,39.456
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,1,1,67.105,33.94008739412988,472.4882087659156,faceOn,1,1,113.96,5.461606436267513,2001.2939485431948,faceOn,1,1,154.035,17.1859166728643,785.149336136989,faceOn,1,1,52.961,10.502221038804054,1744.7482144993455,faceOnClub,leadArm → thorax → pelvis → club,False,unresolved,estimated,32.128
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,1,1,93.977,28.68291725314467,578.4656973045155,faceOn,1,1,381.934,15.445904874917096,2105.002893639656,faceOn,1,1,375.226,19.62746661904392,1101.8594199178897,faceOn,1,1,7.078,8.880355439274926,1905.1952397616358,faceOnClub,thorax → leadArm → pelvis → club,False,unresolved,estimated,32.078
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,1,1,160.944,39.83698601645249,408.29370791203297,faceOn,1,1,114.074,6.410050007137075,1996.5354994682486,faceOn,1,1,160.944,17.404562506294265,640.029825581394,faceOn,1,1,45.294,11.931447193643676,1556.945598582381,faceOnClub,pelvis → leadArm → thorax → club,False,unresolved,estimated,3.627
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,1,1,53.583,33.82252337436439,400.0529281589584,faceOn,1,1,127.273,4.858114774332554,2227.418177607977,faceOn,1,1,160.825,21.78487737313734,566.3153095082869,faceOn,1,1,80.86,5.997900062124235,1776.2861838191782,faceOnClub,leadArm → thorax → club → pelvis,False,unresolved,estimated,39.193
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,1,0,133.877,73.20435458952899,498.4959488562707,faceOn,1,1,47.018,20.63851274926405,574.9600247018049,faceOn,1,1,93.685,19.257060512151295,607.9402438227643,faceOn,1,1,75.652,9.882810518268363,1762.80108723944,faceOnClub,leadArm → club → thorax,False,unresolved,estimated,54.819
2026-07-03_Mark-Liversedge_Wrist_01__swing_0003,1,0,133.872,43.40771711210591,352.45831778541765,faceOn,1,1,180.776,13.068252404831235,970.0852360811617,faceOn,1,1,100.224,19.2099886220669,651.7416985661633,faceOn,1,1,70.771,12.24242076847769,1715.838821037314,faceOnClub,thorax → leadArm → club,True,partial,estimated,4.104
2026-07-03_Mark-Liversedge_Wrist_01__swing_0004,1,1,80.484,32.41114807386763,465.81126938877424,faceOn,1,1,207.784,7.977007418089384,1907.5639351707566,faceOn,1,1,26.98,12.512769099443776,856.1878821952462,faceOn,1,1,5.848,7.362903997023961,1950.0445871014851,faceOnClub,thorax → pelvis → leadArm → club,True,other,estimated,55.848
2026-07-03_Mark-Liversedge_Wrist_01__swing_0005,1,1,134.003,29.60552947617153,530.2399011981427,faceOn,1,0,241.242,143.07849077433232,1200.5609628766194,faceOn,1,1,80.441,12.92261820972651,857.9895563814232,faceOn,1,1,5.737,8.575025629620324,2010.8429964317784,faceOnClub,pelvis → leadArm → club,True,partial,estimated,1.57
2026-07-03_Mark-Liversedge_Wrist_01__swing_0006,1,1,66.966,26.928206233146703,363.6787978649414,faceOn,1,1,167.607,13.938288506095805,1008.2201265191309,faceOn,1,1,80.344,25.815099338833697,705.211026733432,faceOn,1,1,5.878,8.963573880852898,1773.973501075493,faceOnClub,thorax → leadArm → pelvis → club,False,unresolved,estimated,1.711
2026-07-03_Mark-Liversedge_Wrist_01__swing_0007,1,1,120.572,38.81424721417383,380.3746879798135,faceOn,1,1,160.783,11.65786797486668,845.5735914491763,faceOn,1,1,26.804,17.277497843317935,652.9472846130122,faceOn,1,1,68.353,13.96310360146724,1711.3394601951654,faceOnClub,thorax → pelvis → club → leadArm,False,unresolved,estimated,47.519
2026-07-03_Mark-Liversedge_Wrist_01__swing_0008,1,1,0,29.900789320996974,756.1111878985839,faceOn,1,1,46.882,19.800638970966347,647.3567576702823,faceOn,1,1,40.133,11.033366733055345,1645.3551141183768,faceOn,1,0,1.553,86.13110661522123,1844.6002647728296,faceOnClub,thorax → leadArm → pelvis,False,unresolved,estimated,64.053
2026-07-03_Mark-Liversedge_Wrist_01__swing_0009,1,1,0,33.22383027383334,586.8001519097912,faceOn,1,0,40.26,41.10095874817622,523.263604206015,faceOn,1,1,93.753,19.704717808081575,734.1455255974458,faceOn,1,1,63.734,8.570865729754283,1969.7409628029143,faceOnClub,leadArm → club → pelvis,True,other,estimated,63.734
