swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,pelvis_noEarlierThanMs,pelvis_noLaterThanMs,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,thorax_noEarlierThanMs,thorax_noLaterThanMs,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,leadArm_noEarlierThanMs,leadArm_noLaterThanMs,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,club_noEarlierThanMs,club_noLaterThanMs,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-06-11_Mark-Liversedge_Wrist_01__swing_0001,1,0,127.237,53.5921135662904,141.68800924101228,faceOn,,,1,0,100.124,17.933474717456438,1152.4169863010884,faceOn,87.09400000000001,,1,1,53.557,17.54007779529819,877.2083667929497,faceOn,,,1,1,1.541,14.356514801495335,2172.402398239204,faceOnClub,,,leadArm → club,True,partial,estimated,1.541
2026-06-11_Mark-Liversedge_Wrist_01__swing_0002,1,0,93.915,43.72491438681606,207.35171315520338,faceOn,87.208,,1,0,127.453,10.115170974066524,1087.3264912577456,faceOn,,26.891000000000002,1,1,60.304,15.684060068648444,778.9309045102519,faceOn,,,1,1,3.042,7.334963419938505,1832.8941702537202,faceOnClub,,,leadArm → club,True,partial,estimated,3.042
2026-06-11_Mark-Liversedge_Wrist_01__swing_0003,1,0,160.705,30.531743435312166,344.0325310069196,faceOn,66.92,,1,0,100.436,25.346983532889773,1270.8059815932786,faceOn,86.933,,1,1,153.973,11.109335096863102,1000.584247659623,faceOn,,,1,0,10.748,5.758513219766142,1290.992575539696,faceOnClub,,,leadArm,False,unresolved,estimated,19.082
2026-06-11_Mark-Liversedge_Wrist_01__swing_0004,1,0,187.757,55.69526755888336,236.0881433415024,faceOn,114.155,,1,0,120.817,12.56675562199067,1170.4378451943726,faceOn,,40.283,1,1,160.961,22.266732667184737,709.687302621323,faceOn,,,1,1,35.033,14.89651698210376,1603.9712432638314,faceOnClub,,,leadArm → club,True,partial,estimated,55.866
2026-06-11_Mark-Liversedge_Wrist_01__swing_0005,1,0,127.266,32.53122266810207,343.244662695005,faceOn,113.733,,1,0,207.504,8.396576549623367,1378.127616578222,faceOn,267.725,,1,1,207.504,6.541134267315552,4211.050000042589,faceOn,,,1,1,51.956,11.071759072304658,1622.1531590534946,faceOnClub,,,leadArm → club,True,partial,estimated,168.623
2026-06-11_Mark-Liversedge_Wrist_01__swing_0006,1,0,167.506,45.29770957941127,294.02648592475373,faceOn,67.105,,1,0,100.465,16.720280253336725,1053.8772616537142,faceOn,,6.828,1,1,154.035,17.1859166728643,785.149336136989,faceOn,,,1,1,52.961,10.502221038804054,1744.7482144993455,faceOnClub,,,leadArm → club,True,partial,estimated,148.795
2026-06-11_Mark-Liversedge_Wrist_01__swing_0007,1,0,160.986,38.09401876913622,242.06680874565677,faceOn,,,1,0,93.977,16.684387344217555,995.9917267152616,faceOn,,,1,1,375.226,19.62746661904392,1101.8594199178897,faceOn,,,1,1,7.078,9.04009495916571,1910.7909307228301,faceOnClub,,,leadArm → club,True,partial,estimated,148.745
2026-06-11_Mark-Liversedge_Wrist_01__swing_0008,1,0,160.944,36.55645870480155,286.535799500058,faceOn,60.651,,1,0,80.494,37.83348655577264,979.8635907806605,faceOn,67.324,,1,1,160.944,17.404562506294265,640.029825581394,faceOn,,,1,1,45.294,11.931447193643676,1556.945598582381,faceOnClub,,,leadArm → club,True,partial,estimated,157.794
2026-06-11_Mark-Liversedge_Wrist_01__swing_0009,1,0,267.959,22.73415566075774,315.50905685267236,faceOn,46.887,,1,0,107.162,19.696354411217257,1398.107125513624,faceOn,93.679,,1,1,160.825,21.78487737313734,566.3153095082869,faceOn,,,1,0,80.86,5.997900062124235,1776.2861838191782,faceOnClub,,,leadArm,False,unresolved,estimated,155.86
2026-07-03_Mark-Liversedge_Wrist_01__swing_0002,1,0,147.313,62.46384224531586,274.9719266646504,faceOn,127.343,,1,0,40.038,127.35156533644124,357.12209997266973,faceOn,33.462,,1,1,93.685,19.257060512151295,607.9402438227643,faceOn,,,1,1,75.652,9.882810518268363,1762.80108723944,faceOnClub,,,leadArm → club,False,unresolved,estimated,21.486
